Trade Date,Closing Price,Resistance,Support,Entry Price,StopLoss,Target Price,Trade Status
2020-03-03,11329.15,11375.766666666663,10979.666666666664,11364.9,11319.4404,11478.548999999999,No Trade Taken
2020-03-04,11256.3,11396.316666666666,11207.366666666665,11171.15,11215.8346,11059.4385,Put StopLoss Hit
2020-03-05,11258.0,11379.75,11108.05,11171.15,11215.8346,11059.4385,No Trade Taken
2020-03-06,10981.0,11349.15,11205.85,10965.3,11009.161199999999,10855.646999999999,Put Target Hit
2020-03-09,10457.6,11066.56666666667,10863.366666666669,10661.7,10704.346800000001,10555.083,Put StopLoss Hit
2020-03-11,10454.1,10702.45,10254.0,10661.7,10704.346800000001,10555.083,No Trade Taken
2020-03-12,9630.65,10554.466666666667,10344.016666666666,9939.35,9979.1074,9839.9565,Put StopLoss Hit
2020-03-13,10020.45,9944.266666666668,9412.716666666667,8624.05,8658.546199999999,8537.8095,Put StopLoss Hit
2020-03-16,9200.05,10626.15,8945.449999999999,8624.05,8658.546199999999,8537.8095,No Trade Taken
2020-03-17,8965.3,9479.416666666666,9043.016666666666,8930.3,8966.0212,8840.997,Put StopLoss Hit
2020-03-18,8539.3,9273.7,8786.800000000001,8729.25,8764.167,8641.9575,Put StopLoss Hit
2020-03-19,8267.9,8973.85,8256.800000000001,7941.15,7972.9146,7861.7384999999995,Put StopLoss Hit
2020-03-20,8744.35,8616.766666666668,7876.816666666669,8692.85,8658.0786,8779.7785,Call StopLoss Hit
2020-03-23,7636.65,9025.166666666666,8320.966666666665,8050.3,8082.501200000001,7969.7970000000005,Put StopLoss Hit
2020-03-24,7852.45,8133.299999999997,7362.249999999998,8050.3,8082.501200000001,7969.7970000000005,No Trade Taken
2020-03-25,8300.45,8086.75,7565.2,8107.25,8074.821,8188.3225,Call StopLoss Hit
2020-03-26,8653.5,8545.75,7885.049999999999,8605.65,8571.2274,8691.7065,Call StopLoss Hit
2020-03-27,8673.5,8831.116666666665,8392.916666666666,8982.35,8946.4206,9072.1735,Call StopLoss Hit
2020-03-30,8291.7,8966.766666666666,8451.966666666667,8400.15,8433.7506,8316.1485,Put StopLoss Hit
2020-03-31,8556.15,8496.483333333334,8165.683333333334,8503.35,8469.3366,8588.3835,Call StopLoss Hit
2020-04-01,8262.65,8702.883333333331,8384.083333333332,8383.8,8417.3352,8299.962,Put StopLoss Hit
2020-04-03,8106.45,8500.26666666667,8112.36666666667,8098.55,8130.9442,8017.5645,Put StopLoss Hit
2020-04-07,8779.3,8289.933333333334,7989.583333333334,8370.0,8336.52,8453.7,Call Target Hit
2020-04-08,8752.4,8944.383333333331,8488.083333333332,8980.4,8944.4784,9070.204,Call StopLoss Hit
2020-04-09,9098.55,9035.816666666668,8563.666666666668,9046.35,9010.1646,9136.8135,Call StopLoss Hit
2020-04-13,9006.65,9182.68333333333,8959.58333333333,8932.45,8968.1798,8843.1255,Put StopLoss Hit
2020-04-15,8942.6,9107.833333333334,8909.183333333334,9129.25,9092.733,9220.5425,Call Target Hit
2020-04-16,9016.6,9177.266666666666,8791.216666666667,9129.25,9092.733,9220.5425,No Trade Taken
2020-04-17,9291.35,9105.333333333336,8875.533333333336,9288.35,9251.196600000001,9381.2335,Call StopLoss Hit
2020-04-20,9262.0,9379.166666666666,9147.816666666666,9288.35,9251.196600000001,9381.2335,No Trade Taken
2020-04-21,8981.1,9357.783333333333,9198.633333333331,8987.35,9023.2994,8897.4765,Put StopLoss Hit
2020-04-22,9193.35,9046.583333333336,8913.033333333336,9075.25,9038.949,9166.0025,Call StopLoss Hit
2020-04-23,9302.9,9286.35,9023.5,9299.7,9262.5012,9392.697,Call StopLoss Hit
2020-04-24,9174.0,9373.533333333336,9201.883333333337,9166.6,9203.2664,9074.934000000001,Put StopLoss Hit
2020-04-27,9289.6,9265.983333333334,9112.133333333333,9321.3,9284.014799999999,9414.512999999999,Call StopLoss Hit
2020-04-28,9401.7,9357.633333333331,9240.383333333331,9365.25,9327.789,9458.9025,IntraDay Timeout - Call Entry Closed
2020-04-29,9536.8,9449.76666666667,9306.966666666669,9452.85,9415.0386,9547.3785,Call StopLoss Hit
2020-04-30,9851.85,9625.366666666667,9422.166666666668,9780.55,9741.4278,9878.3555,Call StopLoss Hit
2020-05-04,9305.7,9915.833333333332,9761.083333333332,9454.8,9492.6192,9360.251999999999,Put StopLoss Hit
2020-05-05,9222.9,9470.333333333334,9204.233333333334,9198.55,9235.3442,9106.564499999999,IntraDay Timeout - Put Entry Closed
2020-05-06,9287.8,9384.916666666664,9125.966666666664,9198.55,9235.3442,9106.564499999999,No Trade Taken
2020-05-07,9212.95,9383.783333333335,9154.583333333336,9198.55,9235.3442,9106.564499999999,No Trade Taken
2020-05-08,9249.5,9267.183333333334,9168.833333333336,9328.35,9291.0366,9421.6335,Call StopLoss Hit
2020-05-11,9247.2,9340.783333333335,9198.283333333335,9375.35,9337.848600000001,9469.103500000001,Call StopLoss Hit
2020-05-12,9209.65,9384.316666666666,9165.266666666666,9142.4,9178.9696,9050.975999999999,Put Target Hit
2020-05-13,9383.25,9285.299999999997,9089.049999999997,9418.1,9380.4276,9512.281,Call Target Hit
2020-05-14,9150.2,9527.816666666666,9295.066666666666,9255.25,9292.271,9162.6975,Put Target Hit
2020-05-15,9128.95,9247.150000000001,9086.750000000002,9078.45,9114.7638,8987.665500000001,Put StopLoss Hit
2020-05-18,8830.4,9190.866666666667,9058.566666666668,8937.55,8973.3002,8848.1745,Put StopLoss Hit
2020-05-19,8890.55,9056.633333333331,8705.833333333332,8937.55,8973.3002,8848.1745,No Trade Taken
2020-05-20,9085.15,8994.98333333333,8821.033333333331,9001.25,8965.245,9091.2625,Call StopLoss Hit
2020-05-21,9102.2,9159.433333333332,8944.133333333331,9164.3,9127.6428,9255.943,Call StopLoss Hit
2020-05-22,9051.5,9167.800000000001,9046.600000000002,9046.35,9082.5354,8955.8865,Put StopLoss Hit
2020-05-26,9046.1,9143.833333333336,8964.183333333336,9046.35,9082.5354,8955.8865,No Trade Taken
2020-05-27,9317.4,9138.966666666664,8975.116666666663,9143.1,9106.5276,9234.531,Call Target Hit
2020-05-28,9488.0,9432.26666666667,9103.61666666667,9438.65,9400.8954,9533.0365,IntraDay Timeout - Call Entry Closed
2020-05-29,9568.45,9552.016666666666,9381.466666666667,9590.55,9552.1878,9686.4555,Call StopLoss Hit
2020-06-01,9812.2,9651.500000000002,9431.650000000001,9797.2,9758.0112,9895.172,Call StopLoss Hit
2020-06-02,9995.1,9924.533333333331,9706.133333333331,9930.3,9890.5788,10029.603,Call StopLoss Hit
2020-06-03,10068.05,10052.15,9881.349999999999,10140.85,10100.2866,10242.2585,Call StopLoss Hit
2020-06-04,10030.75,10150.550000000001,10010.7,10007.0,10047.028,9906.93,IntraDay Timeout - Put Entry Closed
2020-06-05,10168.2,10121.4,9942.35,10137.15,10096.6014,10238.521499999999,Call StopLoss Hit
2020-06-08,10175.25,10216.650000000001,10080.500000000002,10303.55,10262.335799999999,10406.5855,Call StopLoss Hit
2020-06-09,10026.25,10294.9,10088.35,10087.55,10127.9002,9986.6745,IntraDay Timeout - Put Entry Closed
2020-06-10,10139.4,10204.016666666668,9935.566666666668,10087.55,10127.9002,9986.6745,No Trade Taken
2020-06-11,9910.15,10179.066666666664,10068.316666666664,10064.6,10104.858400000001,9963.954,Put StopLoss Hit
2020-06-12,9958.15,10052.533333333336,9826.883333333337,9676.4,9715.105599999999,9579.636,Put Target Hit
2020-06-15,9818.05,10120.916666666668,9670.166666666668,9676.4,9715.105599999999,9579.636,No Trade Taken
2020-06-16,9900.8,9931.4,9715.8,9995.4,9955.4184,10095.354,Call StopLoss Hit
2020-06-17,9876.85,10054.533333333333,9738.033333333333,9995.4,9955.4184,10095.354,No Trade Taken
2020-06-18,10091.25,9975.033333333335,9806.533333333335,9988.65,9948.695399999999,10088.5365,Call Target Hit
2020-06-19,10254.05,10184.483333333334,9924.133333333333,10196.3,10155.514799999999,10298.262999999999,Call StopLoss Hit
2020-06-22,10324.7,10326.416666666668,10127.366666666667,10350.35,10308.9486,10453.853500000001,Call StopLoss Hit
2020-06-23,10482.75,10386.050000000003,10270.650000000003,10390.35,10348.7886,10494.2535,IntraDay Timeout - Call Entry Closed
2020-06-24,10320.05,10543.883333333335,10361.933333333334,10545.35,10503.1686,10650.8035,Call StopLoss Hit
2020-06-25,10284.35,10487.8,10217.25,10545.35,10503.1686,10650.8035,No Trade Taken
2020-06-26,10400.85,10365.133333333333,10199.583333333334,10394.1,10352.5236,10498.041000000001,Call StopLoss Hit
2020-06-29,10315.1,10435.966666666665,10339.066666666666,10302.85,10344.0614,10199.8215,IntraDay Timeout - Put Entry Closed
2020-06-30,10307.35,10360.25,10246.95,10387.05,10345.5018,10490.9205,Call StopLoss Hit
2020-07-01,10419.45,10382.783333333336,10249.833333333336,10388.35,10346.7966,10492.2335,IntraDay Timeout - Call Entry Closed
2020-07-02,10563.6,10477.466666666667,10330.616666666667,10512.6,10470.5496,10617.726,IntraDay Timeout - Call Entry Closed
2020-07-03,10602.7,10610.533333333331,10503.383333333331,10616.35,10573.884600000001,10722.513500000001,Call StopLoss Hit
2020-07-06,10770.05,10634.650000000001,10566.900000000001,10713.5,10670.646,10820.635,IntraDay Timeout - Call Entry Closed
2020-07-07,10787.5,10821.883333333331,10707.083333333332,10704.7,10747.518800000002,10597.653,Put StopLoss Hit
2020-07-08,10696.15,10837.199999999999,10713.949999999999,10837.7,10794.3492,10946.077000000001,Call StopLoss Hit
2020-07-09,10833.45,10803.399999999998,10633.199999999997,10813.65,10770.3954,10921.7865,IntraDay Timeout - Call Entry Closed
2020-07-10,10771.2,10868.766666666665,10765.866666666665,10752.0,10795.008,10644.48,Put StopLoss Hit
2020-07-13,10814.75,10822.433333333334,10716.483333333334,10876.4,10832.8944,10985.163999999999,Call StopLoss Hit
2020-07-14,10610.15,10886.683333333336,10749.583333333336,10713.9,10756.7556,10606.761,Put Target Hit
2020-07-15,10637.9,10719.583333333332,10531.983333333332,10727.6,10684.6896,10834.876,Call StopLoss Hit
2020-07-16,10728.05,10783.483333333332,10535.583333333332,10727.6,10684.6896,10834.876,No Trade Taken
2020-07-17,10930.8,10789.616666666669,10631.216666666669,10805.6,10762.3776,10913.656,Call StopLoss Hit
2020-07-20,11027.55,10991.3,10811.15,11000.95,10956.9462,11110.9595,Call StopLoss Hit
2020-07-21,11173.1,11058.9,10974.8,11153.45,11108.836200000002,11264.9845,IntraDay Timeout - Call Entry Closed
2020-07-22,11143.65,11196.999999999998,11131.299999999997,11124.7,11169.1988,11013.453000000001,Put StopLoss Hit
2020-07-23,11234.6,11230.816666666666,11056.866666666665,11124.7,11169.1988,11013.453000000001,No Trade Taken
2020-07-24,11197.95,11280.566666666668,11146.866666666669,11115.75,11160.213,11004.5925,Put StopLoss Hit
2020-07-27,11124.5,11251.233333333334,11117.683333333334,11113.25,11157.703,11002.1175,Put StopLoss Hit
2020-07-28,11292.0,11203.25,11067.5,11204.75,11159.931,11316.7975,Call Target Hit
2020-07-29,11197.2,11355.133333333333,11191.483333333334,11180.0,11224.72,11068.2,Put StopLoss Hit
2020-07-30,11095.15,11308.583333333332,11118.283333333333,11100.9,11145.3036,10989.891,Put StopLoss Hit
2020-07-31,11090.15,11234.050000000001,11021.45,11100.9,11145.3036,10989.891,No Trade Taken
2020-08-03,10900.0,11151.133333333331,11028.083333333332,11003.15,11047.1626,10893.118499999999,Put StopLoss Hit
2020-08-03,10900.0,11010.916666666666,10835.716666666667,11003.15,11047.1626,10893.118499999999,No Trade Taken
2020-08-04,11102.5,10905.633333333335,10890.183333333334,10933.6,10889.865600000001,11042.936,Call Target Hit
Count of Call Target Hits = ,7
Count of Call closed for Intraday = ,15,Avg % = ,0.2127654863134674
Count of Call StopLoss Hits = ,42
Count of Put Target Hits = ,8
Count of Put closed for Intraday = ,12,Avg % = ,0.05941565602177524
Count of Put StopLoss Hits = ,35
